City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,88.11,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Nosy Varika,MG,82.6,scattered clouds,-20.5833,48.5333,Hotel Volazara
16,Richards Bay,ZA,80.62,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
17,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Hithadhoo,MV,81.88,scattered clouds,-0.6,73.0833,Scoop Guest House
26,Jalingo,NG,86.86,few clouds,8.8833,11.3667,Debright Motel
28,Xuddur,SO,84.45,clear sky,4.1213,43.8894,Banjanay Hotel
31,Khipro,PK,82.89,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
38,Mahebourg,MU,86.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Georgetown,MY,89.55,scattered clouds,5.4112,100.3354,Cititel Penang
46,Keti Bandar,PK,81.84,clear sky,24.1447,67.4497,Haji laloo memon house
48,Dharmadam,IN,84.63,broken clouds,11.7833,75.4333,Samudra Homes
49,Katakwi,UG,86.11,scattered clouds,1.8911,33.9661,Ebenezer Guest House
50,Busselton,AU,89.1,clear sky,-33.65,115.3333,Observatory Guest House
52,Harper,LR,81.1,overcast clouds,4.375,-7.7169,Screensaver
53,Namibe,AO,77.85,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
54,Vangaindrano,MG,85.42,scattered clouds,-23.35,47.6,Hotel Fanilo
58,Corn Island,NI,80.49,overcast clouds,12.1694,-83.0418,Big Fish Guest House
63,Thohoyandou,ZA,81.54,broken clouds,-22.9456,30.485,Masili Guesthouse & Conference
66,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Vetapalem,IN,81.48,overcast clouds,15.7833,80.3167,Lelavathi hotel
68,Chipinge,ZW,89.55,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
77,Carutapera,BR,76.12,overcast clouds,-1.195,-46.02,Lidera
79,Portobelo,PA,76.82,broken clouds,9.55,-79.65,Scuba Portobelo
92,Bambous Virieux,MU,86.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
106,Quatre Cocos,MU,86.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
109,Zemio,CF,86.59,overcast clouds,5.0314,25.1361,OCHA Office
113,Itarema,BR,81.3,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Dwarka,IN,79.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
116,Berbera,SO,82.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
117,Masindi,UG,82.47,overcast clouds,1.6744,31.715,New Court View Hotel
122,Yenagoa,NG,82.83,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
124,Grand Gaube,MU,86.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
125,Sambava,MG,84.09,clear sky,-14.2667,50.1667,Melrose
127,Fomboni,KM,81.91,few clouds,-12.28,43.7425,Auberge les abou
130,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
139,Forecariah,GN,80.46,scattered clouds,9.4306,-13.0881,"Motel "" La Maison Blanche"""
140,Maunabo,PR,78.71,few clouds,18.0072,-65.8993,Maunacaribe
142,Quepos,CR,79.9,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
144,Kulhudhuffushi,MV,81.9,scattered clouds,6.6221,73.07,Haajy Guest House 1
153,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
161,Mormugao,IN,83.46,broken clouds,15.4,73.8,Coconut Creek Resort
173,Inhambane,MZ,86.45,broken clouds,-23.865,35.3833,Oceano
175,Ilebo,CD,84.49,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
190,Oranjestad,AW,80.71,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
196,Humberto De Campos,BR,76.53,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
201,Bengkulu,ID,82.06,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
202,Vieques,PR,78.91,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
203,Lundazi,ZM,88.27,clear sky,-12.2929,33.1782,Knox Lodge
212,Bahadurganj,IN,80.82,few clouds,26.2667,87.8167,Usmania Cottage
217,Ongole,IN,83.19,overcast clouds,15.5,80.05,Hotel Kolas
220,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
221,Saint-Pierre,RE,89.19,clear sky,-21.3393,55.4781,Lindsey Hôtel
231,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
234,Sokoni,TZ,79.59,light rain,-6.4333,39.55,Ujamaa Beach Resort
245,Port-Gentil,GA,84.16,few clouds,-0.7193,8.7815,Fengshui Residence
257,Mogadishu,SO,85.87,broken clouds,2.0371,45.3438,Hotel Juba
261,Nizwa,OM,77.52,clear sky,22.9333,57.5333,Orient Apartments
266,Mwinilunga,ZM,83.17,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
268,Ulundi,ZA,78.55,overcast clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
270,Kanniyakumari,IN,82.8,scattered clouds,8.0833,77.5667,Sparsa
271,Dhar,IN,78.84,clear sky,22.6,75.3,SPOT ON 49205 Hotel Shrinath Residency
276,Matara,LK,83.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
290,Bulawayo,ZW,88.81,clear sky,-20.15,28.5833,4 On Housman Backpackers
294,Arlit,NE,77.49,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
295,Keta,GH,84.42,broken clouds,5.9179,0.9879,A&Y Wild Camp Ghana
297,Lekoni,GA,77.67,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
302,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
307,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
322,Takoradi,GH,82.76,broken clouds,4.8845,-1.7554,Raybow International Hotel
326,Eyl,SO,85.26,clear sky,7.9803,49.8164,Amiin Hotel
327,Mangrol,IN,80.92,clear sky,21.1167,70.1167,Hotel The Royal Honours
328,Soyo,AO,82.45,light rain,-6.1349,12.3689,Hotel Mpampa
329,Turbat,PK,79.07,clear sky,26.0023,63.044,Mubashar Quarters
330,Manaure,CO,78.66,scattered clouds,11.7751,-72.4445,Hotel Palaaima
332,Abeche,TD,89.62,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
335,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
337,Road Town,VG,79.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
343,The Valley,AI,80.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
344,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
351,Sumbawanga,TZ,75.25,few clouds,-7.9667,31.6167,Matamba II Guest House
356,Benguela,AO,78.35,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
363,Souillac,MU,86.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
365,Kasongo,CD,83.79,light rain,-4.45,26.6667,Guest Hôtel
378,Cayenne,GF,75.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
388,Kutum,SD,77.97,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
389,Kudahuvadhoo,MV,82.2,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
390,Pemba,MZ,86.7,few clouds,-12.974,40.5178,Guesthouse Samotina
393,Rusape,ZW,87.01,scattered clouds,-18.5278,32.1284,Surrey Lodge
396,Kindu,CD,88.61,overcast clouds,-2.95,25.95,Résidence Okanda
397,Buta,CD,85.82,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
405,Tshikapa,CD,85.42,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
409,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
411,Sao Jose Da Coroa Grande,BR,78.49,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
416,Bandarbeyla,SO,82.11,clear sky,9.4942,50.8122,JABIR HOTEL
425,Meulaboh,ID,83.61,broken clouds,4.1363,96.1285,Kost Pria
437,Dogondoutchi,NE,82.81,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
438,Cap Malheureux,MU,86.49,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
