City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Masunga,BW,-20.6246,27.4488,91.58,24,9,15.46,clear sky,2021-12-04 08:20:50
1,Saint-Philippe,RE,-21.3585,55.7679,88.11,73,12,13.76,few clouds,2021-12-04 08:20:50
2,Coihaique,CL,-45.5752,-72.0662,48.81,81,0,4.61,clear sky,2021-12-04 08:16:21
3,Kruisfontein,ZA,-34.0033,24.7314,65.88,60,100,10.92,overcast clouds,2021-12-04 08:20:50
4,Codrington,AU,-38.2667,141.9667,57.87,67,100,11.99,overcast clouds,2021-12-04 08:20:51
5,Lagoa,PT,39.05,-27.9833,64.06,87,100,10.94,overcast clouds,2021-12-04 08:20:51
6,Lasa,IT,46.6166,10.7002,32.74,71,90,3.04,overcast clouds,2021-12-04 08:20:51
7,Victoria,HK,22.2855,114.1577,71.19,37,77,1.01,broken clouds,2021-12-04 08:16:02
8,Hermanus,ZA,-34.4187,19.2345,69.91,65,100,17.43,overcast clouds,2021-12-04 08:20:52
9,Iqaluit,CA,63.7506,-68.5145,1.13,77,75,18.99,broken clouds,2021-12-04 08:20:52
10,Ushuaia,AR,-54.8,-68.3,46.06,49,20,5.75,few clouds,2021-12-04 08:20:53
11,Chuy,UY,-33.6971,-53.4616,58.39,90,33,3.06,scattered clouds,2021-12-04 08:20:15
12,Torbay,CA,47.6666,-52.7314,39.27,88,90,19.57,light rain,2021-12-04 08:20:53
13,Nosy Varika,MG,-20.5833,48.5333,82.6,65,39,8.23,scattered clouds,2021-12-04 08:20:54
14,Vardo,NO,70.3705,31.1107,24.4,71,38,11.81,scattered clouds,2021-12-04 08:20:54
15,San Cristobal,VE,7.7669,-72.225,63.32,86,99,1.43,overcast clouds,2021-12-04 08:20:54
16,Richards Bay,ZA,-28.783,32.0377,80.62,64,100,7.58,overcast clouds,2021-12-04 08:20:55
17,Touros,BR,-5.1989,-35.4608,79.7,80,100,12.8,overcast clouds,2021-12-04 08:20:55
18,Bredasdorp,ZA,-34.5322,20.0403,68.29,61,100,17.9,overcast clouds,2021-12-04 08:20:55
19,Paamiut,GL,61.994,-49.6678,40.93,68,100,49.93,overcast clouds,2021-12-04 08:20:56
20,Cape Town,ZA,-33.9258,18.4232,72.1,66,0,5.01,clear sky,2021-12-04 08:20:03
21,Tasiilaq,GL,65.6145,-37.6368,19.56,58,100,4.09,overcast clouds,2021-12-04 08:20:56
